grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality
493,10,32,37.6262785198042,47.09601933802248,0.028124012053012848,0.0,0.053897883743047714,0.9328,0.7082262635231018,0.7082262635231018,0.0,0.25,0.936786949634552,0.936786949634552,0.20950532876225694,both,0.680102251470089,0.5986515760290623,s2_low_viirs_high,False,False
494,10,33,37.63286518433732,47.09609815926078,0.020663192495703697,0.0,0.045680511742830276,0.8512,0.6895824670791626,0.6895824670791626,0.0,0.25,0.9071092009544373,0.9071092009544373,0.17796781815857643,both,0.6689192745834589,0.6030634922084213,s2_low_viirs_high,False,False
495,10,34,37.63945187666359,47.09617660183154,0.013012152165174484,0.0,0.03600294888019562,1.0,0.6805484890937805,0.6805484890937805,0.0,0.25,0.8936899900436401,0.8936899900436401,0.14353430196660122,both,0.667536336928606,0.5797754358500242,s2_low_viirs_high,False,False
496,10,35,37.64603859664932,47.09625466573071,0.005171651486307383,0.0,0.017954127863049507,1.0,0.6838316321372986,0.6838316321372986,0.0,0.25,0.8993951082229614,0.8993951082229614,0.09587081549387882,both,0.6786599806509912,0.5875619864556938,s2_low_viirs_high,False,False
497,10,36,37.65262534416079,47.09633235095424,0.017157118767499924,0.0,0.04337543249130249,1.0,0.7012044191360474,0.7012044191360474,0.0,0.25,0.9269207715988159,0.9269207715988159,0.16833157316509384,both,0.6840473003685474,0.5913331102579832,s2_low_viirs_high,False,False
498,10,37,37.659212119064314,47.09640965749814,0.03239237517118454,0.0,0.06374939531087875,1.0,0.7200362086296082,0.7200362086296082,0.0,0.25,0.9560753107070923,0.9560753107070923,0.22685927557560442,both,0.6876438334584236,0.5938506834208965,s2_low_viirs_high,False,False
499,10,38,37.66579892122618,47.09648658535838,0.014212637208402157,0.0,0.028157953172922134,1.0,0.7129337787628174,0.7129337787628174,0.0,0.25,0.9450762867927551,0.9450762867927551,0.15911646154294756,both,0.6987211415544152,0.6016047990880906,s2_low_viirs_high,False,False
500,10,39,37.67238575051266,47.09656313453099,0.06745065003633499,0.010638131760060787,0.11747199296951294,1.0,0.6135749220848083,0.6135749220848083,0.0,0.25,0.7966488003730774,0.7966488003730774,0.2531124584011195,both,0.5461242720484734,0.4947869904339313,s2_low_viirs_high,False,False
501,10,40,37.678972606790055,47.09663930501202,0.22639980912208557,0.07962627708911896,0.24138544499874115,1.0,0.621245265007019,0.621245265007019,0.0,0.25,0.8058208227157593,0.8058208227157593,0.40927632952761067,both,0.39484545588493347,0.3888918191194534,s2_low_viirs_high,False,False
502,10,41,37.68555948992465,47.09671509679751,0.17641004920005798,0.003749655559659004,0.2455306351184845,0.5648,0.5628722310066223,0.5628722310066223,0.0,0.25,0.7245891094207764,0.7245891094207764,0.34433899612565677,both,0.38646218180656433,0.448303527264595,s2_low_viirs_high,False,False
503,10,42,37.69214639978271,47.096790509883576,0.3018389344215393,0.14644046127796173,0.30181649327278137,0.9168,0.557246208190918,0.557246208190918,0.0,0.25,0.7180699110031128,0.7180699110031128,0.42451117528229354,both,0.25540727376937866,0.303765091638565,s2_low_viirs_high,False,False
504,10,43,37.69873333623052,47.09686554426629,0.14513762295246124,0.0,0.2405288964509964,1.0,0.5844244360923767,0.5844244360923767,0.0,0.25,0.7559005618095398,0.7559005618095398,0.32824188821406464,both,0.43928681313991547,0.42000076919794077,s2_low_viirs_high,False,False
505,10,44,37.705320299134335,47.09694019994178,0.0011354476446285844,0.0,0.007367306854575872,1.0,0.48444095253944397,0.48444095253944397,0.0,0.25,0.6163663268089294,0.6163663268089294,0.03164789123105282,both,0.4833055048948154,0.45081385342637076,both_low,False,False
506,10,45,37.71190728836044,47.09701447690616,0.010748245753347874,0.0,0.03520997241139412,1.0,0.48298630118370056,0.48298630118370056,0.0,0.25,0.6144853234291077,0.6144853234291077,0.09152595801653546,both,0.4722380554303527,0.44306663880124686,both_low,False,False
