grid_id,bayes_mean,bayes_ci_lower,bayes_ci_upper,ds_belief,ds_plausibility,ds_uncertainty_width,conflict_k,consistency_label,high_uncertainty_flag,divergence_reason,jsd_s2_viirs,fusion_suppression_ratio,p_s2_only,p_viirs_only,p_both
402,0.155620774178262,0.1334266854584748,0.1792685620844361,0.2767097160220146,0.8017097160220146,0.5249999999999999,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1532182802261232,0.4695867807224193,0.0509949449358465,0.5240740162163133,0.155620774178262
403,0.155474024768227,0.1324684785840588,0.1800874302383767,0.2695435851812363,0.7945435851812364,0.5250000000000001,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1535793058856003,0.4754527423878337,0.0489670160595948,0.5206897051320571,0.155474024768227
404,0.1555181806942695,0.1323793916789963,0.1807726954657154,0.2633743271231651,0.7883743271231651,0.525,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1495016552706013,0.4680546692714241,0.0513682494061457,0.517376229709878,0.1555181806942695
405,0.1554860631927583,0.1326282991656362,0.1796931980662839,0.166265432403571,0.4918178528535475,0.3255524204499765,0.1214803692941854,weak_consistent,False,"Bayesian CI overlaps D-S interval but mean outside; Wide D-S interval (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1767337733071197,0.5387932818905278,0.0278412780947719,0.5187966503539194,0.1554860631927583
406,0.1557470259873316,0.1326416032259657,0.1805354733700557,0.2009906443125263,0.4955492482585256,0.2945586039459993,0.1562002204415945,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.163151566095105,0.4733002702328785,0.0499516635965029,0.541477136022037,0.1557470259873316
407,0.1558413307846351,0.1335970500646841,0.1822506490156465,0.1616397211022747,0.3803572134328003,0.21871749233052562,0.1841920292792946,weak_consistent,False,"Bayesian CI overlaps D-S interval but mean outside; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1566415933590799,0.4711246340011583,0.0507472318365099,0.5303620415254218,0.1558413307846351
408,0.1554440694535387,0.1328760508538473,0.1798366590013375,0.1419677164787652,0.3657617728294697,0.2237940563507045,0.1604853498403286,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1464282188405695,0.4696536359530969,0.0507810999883546,0.5099682049740978,0.1554440694535387
409,0.155501197913894,0.1322371566476367,0.181408131610789,0.1281581151300552,0.4047000170331843,0.2765419019031291,0.1156603481486092,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss",0.1427060328769251,0.4912172490789114,0.0438953657752799,0.4880313104707062,0.155501197913894
410,0.1551915410587525,0.1320717613666943,0.1792839362844909,0.1652534742121884,0.4860516011433508,0.3207981269311624,0.102151901446751,weak_consistent,False,"Bayesian CI overlaps D-S interval but mean outside; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1341028303075387,0.4524031839693709,0.05590126455109,0.4946093392143341,0.1551915410587525
411,0.155440683851449,0.1324676925088256,0.1805407103109745,0.2407737120985984,0.7657737120985985,0.525,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1441242685292983,0.4717531505900252,0.0501107154448441,0.5039010278575718,0.155440683851449
412,0.1554545821970395,0.1324334753915019,0.1797808146688898,0.2724388480186462,0.7974388480186463,0.5250000000000001,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1527141571537042,0.4720359541529388,0.0500358841899899,0.5211347617576418,0.1554545821970395
413,0.1557186735838618,0.1329259524544399,0.1806010270310889,0.1796446793446051,0.4923169165724311,0.312672237227826,0.132278833780536,weak_consistent,False,"Bayesian CI overlaps D-S interval but mean outside; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1606087649274415,0.4915501845534098,0.0440211846400475,0.5243223090031355,0.1557186735838618
414,0.1550399215575412,0.1305936140026662,0.1810420011012113,0.058236092209221,0.1800487740937827,0.12181268188456171,0.1968311119775287,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1675282449098428,0.5318704584925433,0.0297614363865086,0.5057711911476924,0.1550399215575412
415,0.1549444267482085,0.1320910139042876,0.1780968612068252,0.1108261326724946,0.2549947309926751,0.14416859832018053,0.2197092237290497,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1712495211821353,0.5426601689857664,0.0259486718581291,0.5036009609206142,0.1549444267482085
416,0.1557569598662327,0.1324869118637129,0.1830334641018637,0.3076832574520515,0.4858524226311312,0.1781691651790797,0.1798480352513468,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1294802270178853,0.3897202074769771,0.074911300320083,0.5200882378390004,0.1557569598662327
417,0.1553353745909276,0.1309476352045676,0.1814157638245692,0.2600622756165888,0.3976575644405342,0.1375952888239454,0.1673618232052637,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.0966995477559549,0.3602037245730507,0.0824635833456711,0.4589458766869048,0.1553353745909276
418,0.1544387401005746,0.1299979117009428,0.1772338117466742,0.3450353257140559,0.5391421816987205,0.19410685598466465,0.1855039691645006,divergent_low_bayes,False,Bayesian posterior entirely below D-S belief; Bayesian more conservative than D-S,0.0629794608377319,0.2768069475014438,0.1021298019733377,0.4024720759944486,0.1544387401005746
419,0.1548355759404655,0.1317001709027798,0.1792604428979402,0.2577930546745392,0.434449785609531,0.1766567309349918,0.1524746213348492,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.0817505953916913,0.3325799866500274,0.0890693011910086,0.4326754146524884,0.1548355759404655
420,0.1559526219649133,0.1337905366256305,0.1812838292655541,0.2577084105409746,0.4012157375435497,0.14350732700257512,0.1892213190480807,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.125024078716363,0.3967113398520093,0.0731695231689011,0.507437152264308,0.1559526219649133
421,0.1555041003081951,0.1319305664978685,0.1818209634670401,0.1873327465384982,0.336207567935009,0.1488748213965108,0.1816951687949256,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1302251028081246,0.4249257181120404,0.0645390291725397,0.5028944782438434,0.1555041003081951
422,0.1546072619533922,0.1299492251640849,0.1789425498965799,0.0994347917116049,0.2266647809259186,0.12722998921431372,0.1279505276736887,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1115819525936009,0.450468165888296,0.0558580401701597,0.4450595703512335,0.1546072619533922
423,0.155477966960941,0.1323374986506661,0.1817551289964917,0.1573840408654375,0.3145035788840075,0.15711953801856998,0.1847230144186223,weak_consistent,False,"Bayesian CI overlaps D-S interval but mean outside; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1368761396340367,0.443119934371433,0.0590589325690399,0.5065696301536433,0.155477966960941
424,0.156041707249446,0.1348984079802282,0.1812991307557417,0.2916573632402501,0.4612374557859031,0.16958009254565298,0.1869838326253415,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1301202781038911,0.3829531728146734,0.0770979428314812,0.5252757732274523,0.156041707249446
425,0.1559300326302084,0.1336356975472776,0.1814443894558484,0.1024943136282698,0.2429586807445438,0.140464367116274,0.2249295484246276,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1645099785752983,0.4909641153662622,0.044441532091663,0.5328009959611035,0.1559300326302084
426,0.156062974308585,0.1332758042831069,0.183581440235945,0.1662355269679609,0.3224694598143716,0.15623393284641068,0.2324858750442055,weak_consistent,False,"Bayesian CI overlaps D-S interval but mean outside; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.160740332850018,0.4562871807217381,0.0556533540879261,0.5480394457539016,0.156062974308585
