grid_id,p_s2_only,p_viirs_only,p_both,kl_s2_vs_neutral_prior,kl_viirs_vs_neutral_prior,kl_both_vs_neutral_prior,kl_s2_vs_s2_global,kl_viirs_vs_viirs_global,kl_both_vs_both_global,kl_s2_vs_viirs,kl_viirs_vs_s2,jsd_s2_viirs,abs_diff_s2_viirs,best_single_sensor_kl,fusion_kl_loss,fusion_suppression_ratio,conflict_rank
12,0.03190880100748435,0.5015410698090185,0.15522144525952,0.5518311879448676,4.749799832740693e-06,0.26148688038348367,0.00409297922503374,5.213204915778362e-06,1.3305380528250209e-07,0.5547213917551739,1.050767582277695,0.16274489576199014,0.46963226880153414,0.5518311879448676,0.29034430756138396,0.5261469701317275,3
13,0.050577794345704405,0.5039745357244391,0.1554501894316535,0.4929341584420702,3.1594201182269e-05,0.26109953646662465,2.5147114413639473e-07,1.3415555246239956e-06,6.681919321323249e-09,0.5001108822530299,0.8366112725139292,0.1436980179852268,0.45339674137873465,0.4929341584420702,0.23183462197544558,0.47031559490250024,2
14,0.050856023867818616,0.5044620418182623,0.1554333721766763,0.49211909926315855,3.982016292710701e-05,0.26112800038392786,1.9569891368684473e-06,3.4140462800021608e-06,2.3933454949366716e-09,0.5001755301157408,0.8354268204733528,0.14366102813898252,0.45360601795044364,0.49211909926315855,0.2309910988792307,0.4693804796950366,2
15,0.050261497379743655,0.4987476667579131,0.1554449228268661,0.493862692749254,3.1366803780056088e-06,0.26110845018690493,2.7109889473006304e-07,3.885938755916144e-05,5.10719061189342e-09,0.4916129348168038,0.8242176883002518,0.14147363734004692,0.44848616937816943,0.493862692749254,0.23275424256234906,0.47129343029870047,2
16,0.049598922786959224,0.5024217624006314,0.1556426955395431,0.495814582194467,1.1729912113908527e-05,0.26077386513454404,7.120591697597168e-06,1.076909870516415e-06,2.0919306742685716e-07,0.5001894038935043,0.8413444880079772,0.1439116214821109,0.4528228396136722,0.495814582194467,0.23504071705992297,0.47404962560729197,2
17,0.050187887463236755,0.5018380227610231,0.1556506633322081,0.4940790852003225,6.7566705576238735e-06,0.2607603917368211,5.758368835014906e-07,3.4718324934991662e-06,2.2365422993372418e-07,0.4973929164019832,0.8340005931436545,0.143043905699897,0.4516501352977863,0.4940790852003225,0.23331869346350143,0.4722294475770073,2
18,0.05020436754739984,0.5015298930655617,0.1553161594782008,0.49403062851822555,4.681152888510098e-06,0.26132644769464347,4.977410850990141e-07,5.2856347037293e-06,3.235021100608489e-08,0.49678787515188755,0.8329364549507796,0.14287796377969525,0.4513255255181619,0.49403062851822555,0.23270418082358207,0.4710318903132486,2
19,0.05005960702679465,0.5411949355770078,0.1558709404224852,0.49445646534685017,0.003397895746694919,0.26038809824666215,1.3786490103240658e-06,0.0028978343055997904,8.146547022934328e-07,0.5721715900738706,0.9544434653393389,0.16289364514036803,0.4911353285502132,0.49445646534685017,0.23406836710018802,0.47338518859490347,3
20,0.05179132724032256,0.5142087443862791,0.1555300790536085,0.48939088544199394,0.00040383119687542254,0.26096434931390267,1.9399954325909985e-05,0.00024439882013688186,5.6475318008559106e-08,0.5152756157643884,0.8554230972422319,0.14751464029174022,0.4624174171459565,0.48939088544199394,0.22842653612809127,0.46675682552156156,2
21,0.050396040464442224,0.467829095579792,0.154920857358594,0.4934674671519272,0.002071364761899397,0.26199648764822614,7.333653207342565e-09,0.0024973523974364947,9.058946603297531e-07,0.43760499522580654,0.7342426168996227,0.12674887846124208,0.4174330551153498,0.4934674671519272,0.23147097950370105,0.46907039452802773,2
22,0.05336577743340891,0.42803702423909995,0.154347609060055,0.4848384052318825,0.010393397541516913,0.2629702687777281,8.884241070784534e-05,0.011321654501902326,4.2937820092993784e-06,0.36584108989605946,0.6030132456328123,0.10635579160015812,0.374671246805691,0.4848384052318825,0.22186813645415437,0.45761254483964,2
23,0.050772664405366055,0.44872782290165036,0.1546595391145054,0.49236312790795245,0.005266925638127633,0.26244007911935296,1.277360104108094e-06,0.00593401616196753,2.1385157718479186e-06,0.4051922004099827,0.6782319944470354,0.11772843906157035,0.3979551584962843,0.49236312790795245,0.22992304878859948,0.4669786093965666,2
24,0.0518249597985148,0.45359735695898135,0.154880342299065,0.4892931152747493,0.004312613681988417,0.2620652283600755,2.0360813139400514e-05,0.004918239258141603,1.0628181711954234e-06,0.4101920886216457,0.6828381648444798,0.11894978637583142,0.40177239716046653,0.4892931152747493,0.22722788691467377,0.46440033554749716,2
25,0.049846891960985386,0.43424672374701767,0.1543444074060971,0.4950830014898019,0.00867208416049544,0.26297571451382806,3.4729464939742575e-06,0.009521960140090685,4.319766541741781e-06,0.3847197811762654,0.6466717782973267,0.11215814189286023,0.38439983178603226,0.4950830014898019,0.23210728697597383,0.4688249975812489,2
26,0.05110795980152624,0.39675925158893394,0.153752208330869,0.49138244959759747,0.021471423943633147,0.2639843459718738,4.885118809117212e-06,0.022794479797930103,1.0478156503011034e-05,0.32508773481508674,0.5398590265448695,0.0951214558809945,0.3456512917874077,0.49138244959759747,0.22739810362572366,0.4627721315890389,2
27,0.051316121553333295,0.41142721821318673,0.1538770891358202,0.4907747814490322,0.015773384643872554,0.26377142542880583,8.292203489456535e-06,0.016911296336404633,8.955518161676487e-06,0.3460569719193465,0.5754681211445338,0.10105534354573562,0.3601110966598534,0.4907747814490322,0.22700335602022637,0.46254079182713886,2
28,0.050383143288594626,0.3687419985526084,0.1532630954088509,0.4935053367058657,0.03486442560259713,0.26481943348474823,1.621111811716397e-08,0.036541124941450995,1.7596575730470607e-05,0.2874856359499972,0.47618864718248455,0.08441423332740883,0.3183588552640138,0.4935053367058657,0.22868590322111748,0.46339094273547166,2
