grid_id,p_viirs_only_mean,p_viirs_only_sd,p_viirs_only_ci_2_5,p_viirs_only_ci_97_5
538,0.5657151779813212,0.09427096680591786,0.4045689453159974,0.7650234236311453
539,0.5646717722765897,0.09806033501548769,0.4005102343206091,0.7835910218311067
540,0.5647704280767251,0.09698862776450508,0.3921745918677335,0.7738661970811374
541,0.5681965721774739,0.09566444445853287,0.4076428289093839,0.7746069083189594
542,0.5692600893459268,0.09938071976898409,0.3947633899081903,0.7774913305198008
543,0.5685066450806278,0.09777540560397655,0.40065149222100505,0.7807496962534828
544,0.567238328633988,0.09633902610273794,0.4098303578314747,0.7814145751938526
545,0.5647572766380857,0.0963925716649,0.39544368593376467,0.7680460018482249
546,0.539281653617728,0.08821241471152755,0.37223738384133553,0.7323435668053629
547,0.5324650794377855,0.0880006943894504,0.36204471026917096,0.725550377659394
548,0.5312573208658956,0.0863486736995226,0.3646514886619384,0.715481023710792
549,0.5102624241333824,0.08384622381006172,0.33894463551352066,0.6884358735045926
550,0.5030009074879227,0.08414849091721541,0.3258696552769005,0.6747341181569383
551,0.48707969254646477,0.0891992544526121,0.2906048983189777,0.6594283004702343
552,0.4824734451614144,0.08608180808987521,0.28914869982616037,0.6541078768826443
553,0.4739932734451921,0.0895412655798462,0.278869739718355,0.647244518777067
554,0.3983295283800302,0.11191477636047584,0.16577579382733645,0.5668648925804067
555,0.36719863591892943,0.12569365775437236,0.13301488161891045,0.5529281701827257
556,0.3213302094654689,0.14657868915941133,0.0796300878604152,0.5329656932662035
557,0.3995493592798401,0.1114193486464895,0.17660260734123565,0.5676353496169054
558,0.4638739693766079,0.0911959169514297,0.26798228310822175,0.6334488721437032
559,0.5168971468608042,0.08442637572419592,0.3508860373723373,0.6965583261517424
560,0.4815044569473788,0.08546948085827841,0.2984334085250682,0.6489006484646894
561,0.49073510888493893,0.08470242952086093,0.3117736326058036,0.6645648451379199
562,0.48342280260576415,0.08608893939912533,0.2992937116189219,0.6531228336648173
563,0.5029573915581779,0.08406650570749703,0.32847246552418563,0.6725174100526918
564,0.5392512460307708,0.08840774096131461,0.373867039717105,0.7274928098449104
565,0.5577275294148525,0.09150048634527579,0.3989818146515675,0.7605067454249956
566,0.5567268517262088,0.09400387248385104,0.38976019508274645,0.7583036492937222
567,0.5645278359457921,0.0929106672794287,0.4040421220754405,0.7656373765139702
568,0.5660203278356335,0.09593779660545153,0.4049687807452382,0.7749343056582753
569,0.5642970362027356,0.09425937151084805,0.39990948444890273,0.7666014165395452
570,0.5662063970435605,0.09911270938863116,0.39114156486995405,0.7740316894761005
571,0.5688084995053668,0.09683207131407781,0.4063229636033728,0.7785822766146032
572,0.5685830418060024,0.09627178728799998,0.4031430550622863,0.7703828886561769
573,0.5658524539942328,0.09641048696268953,0.3965819016404712,0.7663173969376883
574,0.5656716638009299,0.09708496556623959,0.4060774736271526,0.7723778986268249
575,0.5679235408357753,0.0954358005401417,0.3983896310267695,0.7662607595067759
576,0.5611863249531184,0.09179347028281962,0.4025365136451591,0.7569100279345791
577,0.5003678686642956,0.1117975821839411,0.2565715330015856,0.737130770523112
578,0.5036852444626132,0.1132854638544003,0.2581384838931556,0.7493335716025271
579,0.5028829461354283,0.1115964470589646,0.2612635706705626,0.7456550115326734
580,0.5025110734787549,0.11265339930245324,0.2666340094566631,0.7383403163218423
581,0.5011829488400398,0.11199542416278077,0.2570458358198322,0.7328508449887982
582,0.5056682784581518,0.11192436913786664,0.2708561261053094,0.7470862832296603
583,0.5650824692477445,0.09488232808476588,0.4061808947655229,0.7653678179039716
584,0.5688065470217786,0.09623243399381277,0.4103888907019662,0.7711636097161326
585,0.5668938236326302,0.09585463793786358,0.4059628611577101,0.7748955978079163
586,0.5659074817976171,0.09393770686509792,0.4093985544348559,0.7659798970247607
587,0.5677638129824328,0.09779579398364725,0.4003371091378785,0.7742598676264674
588,0.5724014760187144,0.0959492528665576,0.408079885373316,0.7754380902691405
589,0.5715388590783412,0.0983430366414425,0.4104539862705089,0.7842812926435214
590,0.5641029046157269,0.09563532438876181,0.40374644745535826,0.7701817657934937
591,0.5674974310282891,0.09606607297227912,0.4080468520314931,0.7756025292948197
592,0.5619565514400865,0.09521972334322017,0.39636752844329415,0.7670768565718906
593,0.5478868882275474,0.09040554262915299,0.37852258541482403,0.740260440450445
594,0.5399125937250997,0.0893110683125151,0.3778413057844517,0.7338201945537473
595,0.5029161768629682,0.11190598581809123,0.26236786376238824,0.7444597675446177
596,0.5023306883333087,0.11226573700902205,0.25712451634382405,0.7396488065092709
597,0.44500232661937683,0.0929175803501413,0.24149945638594478,0.605132332575435
598,0.4423583189643564,0.09632888041817105,0.23825577735557515,0.6060774585387813
599,0.42842879605546963,0.10012472048870577,0.21217315180216614,0.5938120895802647
600,0.3986603106630535,0.11210244015347931,0.17082797582613882,0.5744769169798647
601,0.38731542063377594,0.11834558624600398,0.15273800871994483,0.5614036716704826
602,0.32027079395289937,0.14808283249068382,0.08077267301491149,0.5356014005207608
603,0.3124772500601257,0.1517880235058133,0.0635981383709308,0.5312990667825318
604,0.41429400932939814,0.10303712327132482,0.20102784344726732,0.5738453693012406
605,0.5133693441836621,0.08533013448258897,0.3331344092359127,0.6955588558025491
606,0.48643433914714884,0.08371638021867113,0.30384140112041985,0.6512089477336793
607,0.4968193630168936,0.08653693284498616,0.3120258065316799,0.6768492841010001
608,0.5488426542561862,0.09140092573585569,0.3833575533794411,0.7492402811755022
609,0.5339318125114026,0.08784460190005895,0.3673946753718385,0.7264595894123618
610,0.528447975336793,0.08748232531317089,0.36025708898699926,0.7177006300373908
611,0.5277217398716239,0.08887298427315675,0.3548324979635788,0.7164234674705857
